ssd_mean,ssd_std,sigma_min,sigma_max,lr,weight_decay
-2.0,1.3333333333333335,0.00017223225596080984,106.34267539816564,0.0002,0.0001
-2.0,1.1666666666666667,0.00039630226859990573,46.216336215892504,0.0002,0.0001
-2.0,1.0,0.0009118819655545162,20.085536923187668,0.0002,0.0001
-2.0,0.8333333333333335,0.002098218418080901,8.729138363720143,0.0002,0.0001
-2.0,0.6666666666666667,0.004827949993831437,3.79366789468318,0.0002,0.0001
-2.0,0.5,0.011108996538242306,1.6487212707001282,0.0002,0.0001
-1.5,2.0,1.013009359863071e-05,4914.768840299134,0.0002,0.0001
-1.5,1.8333333333333333,2.3309101142937016e-05,2135.949733220413,0.0002,0.0001
-1.5,1.6666666666666667,5.36336797682804e-05,928.2799275187642,0.0002,0.0001
-1.5,1.5,0.00012340980408667956,403.4287934927351,0.0002,0.0001
-1.5,1.3333333333333335,0.00028396298390325614,175.3294309121149,0.0002,0.0001
-1.5,1.1666666666666667,0.0006533919798673801,76.19785657297064,0.0002,0.0001
-1.5,1.0,0.0015034391929775724,33.11545195869231,0.0002,0.0001
-1.5,0.8333333333333335,0.0034593773364647554,14.391916095149911,0.0002,0.0001
-1.5,0.6666666666666667,0.007959943848706443,6.254700951936332,0.0002,0.0001
-1.5,0.5,0.01831563888873418,2.718281828459045,0.0002,0.0001
-1.0,2.0,1.670170079024566e-05,8103.083927575384,0.0002,0.0001
-1.0,1.8333333333333333,3.843021085526093e-05,3521.585758306759,0.0002,0.0001
-1.0,1.6666666666666667,8.842698865988302e-05,1530.4748616641598,0.0002,0.0001
-1.0,1.5,0.00020346836901064417,665.1416330443618,0.0002,0.0001
-1.0,1.3333333333333335,0.0004681758116527765,289.0693621245524,0.0002,0.0001
-1.0,1.1666666666666667,0.0010772612553122194,125.62902691361425,0.0002,0.0001
-1.0,1.0,0.0024787521766663585,54.598150033144236,0.0002,0.0001
-1.0,0.8333333333333335,0.0057035489980073965,23.72825819220519,0.0002,0.0001
-1.0,0.6666666666666667,0.013123728736940956,10.312258501325772,0.0002,0.0001
-1.0,0.5,0.0301973834223185,4.4816890703380645,0.0002,0.0001
-0.5,2.0,2.7536449349747158e-05,13359.726829661873,0.0002,0.0001
-0.5,1.8333333333333333,6.336070607455965e-05,5806.1133463149945,0.0002,0.0001
-0.5,1.6666666666666667,0.00014579145710750816,2523.3264586975365,0.0002,0.0001
-0.5,1.5,0.00033546262790251185,1096.6331584284585,0.0002,0.0001
-0.5,1.3333333333333335,0.0007718914190992295,476.59480604246755,0.0002,0.0001
-0.5,1.1666666666666667,0.0017761035457343776,207.1272488898347,0.0002,0.0001
-0.5,1.0,0.004086771438464067,90.01713130052181,0.0002,0.0001
-0.5,0.8333333333333335,0.009403562551495197,39.12128399815326,0.0002,0.0001
-0.5,0.6666666666666667,0.02163737071949308,17.002039940094026,0.0002,0.0001
-0.5,0.5,0.049787068367863944,7.38905609893065,0.0002,0.0001
-1.2,1.2,0.01,80.0,0.0002,0.0001
